"","value_names","annotator_scores","p10","p2","p3","p4","p5","p7","p9","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist","values_missing"
"1","responsibility",80,30,90,69,37,53,60,24,51.8571428571429,9.56099881877926,-28.1428571428571,9.56099881877926,31,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"2","fairness",70,2,18,65,58,62,70,50,46.4285714285714,10.6349976306144,-23.5714285714286,10.6349976306144,23.5714285714286,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"3","autonomy",60,43,17,71,61,73,100,100,66.4285714285714,12.1788914448482,6.42857142857143,12.1788914448482,23.5714285714286,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"4","accountability",70,100,85,62,63,68,100,47,75,8.32666399786453,5,8.32666399786453,16.4285714285714,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"5","boundaries",80,1,79,83,75,90,100,67,70.7142857142857,13.2721811941668,-9.28571428571429,13.2721811941668,18.7142857142857,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"6","cooperation",50,22,15,17,50,20,15,46,26.4285714285714,6.12307630950844,-23.5714285714286,6.12307630950844,23.5714285714286,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"7","family harmony",40,0,50,12,44,5,0,30,20.1428571428571,8.60370905620416,-19.8571428571429,8.60370905620416,23.8571428571429,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"8","irresponsibility",70,100,90,33,61,17,0,50,50.1428571428571,14.9989417616129,-19.8571428571429,14.9989417616129,34.1428571428571,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"9","lack of compassion",80,100,20,50,61,13,60,75,54.1428571428571,12.3545506043288,-25.8571428571429,12.3545506043288,31.5714285714286,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"10","selfishness",60,100,19,38,75,13,40,59,49.1428571428571,12.6654134718413,-10.8571428571429,12.6654134718413,26.5714285714286,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
"11","neglect",90,100,34,31,69,50,60,90,62,10.7625895273086,-28,10.7625895273086,30.8571428571429,"refusing to do anything with the dog even though isnt her dog ,Stubbornness ,A sense of justice maybe,compromise"
